Scenario,RankSetup,Config,Train Trades,Train WR,Train AvgR,Test Trades,Test WR,Test AvgR,Eligible
LADDER_ONLY,MA_LADDER,tx1_be1,324,0.3950617283950617,0.13358226087335387,138,0.32608695652173914,-0.009342595737736053,True
LADDER_ONLY,MA_LADDER,tx1_be0,324,0.44753086419753085,0.1501729310080392,138,0.3695652173913043,-0.02885922770528595,True
LADDER_ONLY,MA_LADDER,tx0_be1,324,0.3950617283950617,0.1111111111111111,138,0.32608695652173914,-0.03985507246376811,True
LADDER_ONLY,MA_LADDER,tx0_be0,324,0.44753086419753085,0.11882716049382716,138,0.3695652173913043,-0.07608695652173914,True
CLASSICS_ALL,ALL,tx0_be1_c100,430,0.3581395348837209,0.004651162790697674,193,0.3626943005181347,-0.05181347150259067,True
CLASSICS_ALL,ALL,tx1_be1_c100,430,0.3581395348837209,0.004651162790697674,193,0.3626943005181347,-0.05181347150259067,True
CLASSICS_ALL,ALL,tx0_be0_c100,430,0.4,0.0,193,0.37305699481865284,-0.06735751295336788,True
CLASSICS_ALL,ALL,tx1_be0_c100,430,0.4,0.0034941343634763656,193,0.37305699481865284,-0.06735751295336788,True
CLASSICS_ALL,ALL,tx0_be1_c101,289,0.3391003460207612,-0.03460207612456748,115,0.30434782608695654,-0.1956521739130435,True
CLASSICS_ALL,ALL,tx1_be1_c101,289,0.3391003460207612,-0.03460207612456748,115,0.30434782608695654,-0.1956521739130435,True
CLASSICS_ALL,ALL,tx0_be0_c101,289,0.3771626297577855,-0.05709342560553633,115,0.3130434782608696,-0.21739130434782608,True
CLASSICS_ALL,ALL,tx1_be0_c101,289,0.3771626297577855,-0.05189454056645385,115,0.3130434782608696,-0.21739130434782608,True
CLASSICS_PFR,PFR,tx0_be1_c100,74,0.3783783783783784,0.06756756756756757,30,0.5333333333333333,0.36666666666666664,False
CLASSICS_PFR,PFR,tx1_be1_c100,74,0.3783783783783784,0.06756756756756757,30,0.5333333333333333,0.36666666666666664,False
CLASSICS_PFR,PFR,tx0_be0_c100,74,0.3918918918918919,-0.02027027027027027,30,0.5333333333333333,0.3333333333333333,False
CLASSICS_PFR,PFR,tx1_be0_c100,74,0.3918918918918919,3.3483463443745156e-05,30,0.5333333333333333,0.3333333333333333,False
CLASSICS_PFR,PFR,tx0_be1_c101,55,0.38181818181818183,0.1,22,0.5,0.29545454545454547,False
CLASSICS_PFR,PFR,tx1_be1_c101,55,0.38181818181818183,0.1,22,0.5,0.29545454545454547,False
CLASSICS_PFR,PFR,tx0_be0_c101,55,0.4,0.0,22,0.5,0.25,False
CLASSICS_PFR,PFR,tx1_be0_c101,55,0.4,0.027317777750815227,22,0.5,0.25,False
CLASSICS_DL,DL,tx0_be1_c100,47,0.3617021276595745,-0.031914893617021274,26,0.3076923076923077,-0.19230769230769232,False
CLASSICS_DL,DL,tx1_be1_c100,47,0.3617021276595745,-0.031914893617021274,26,0.3076923076923077,-0.19230769230769232,False
CLASSICS_DL,DL,tx0_be0_c100,47,0.3829787234042553,-0.0425531914893617,26,0.3076923076923077,-0.23076923076923078,False
CLASSICS_DL,DL,tx1_be0_c100,47,0.3829787234042553,-0.0425531914893617,26,0.3076923076923077,-0.23076923076923078,False
CLASSICS_DL,DL,tx0_be1_c101,24,0.3333333333333333,-0.08333333333333333,15,0.2,-0.43333333333333335,False
CLASSICS_DL,DL,tx1_be1_c101,24,0.3333333333333333,-0.08333333333333333,15,0.2,-0.43333333333333335,False
CLASSICS_DL,DL,tx0_be0_c101,24,0.3333333333333333,-0.16666666666666666,15,0.2,-0.5,False
CLASSICS_DL,DL,tx1_be0_c101,24,0.3333333333333333,-0.16666666666666666,15,0.2,-0.5,False
CLASSICS_8_2,8.2,tx0_be1_c100,104,0.3269230769230769,-0.028846153846153848,52,0.36538461538461536,-0.0673076923076923,False
CLASSICS_8_2,8.2,tx1_be1_c100,104,0.3269230769230769,-0.028846153846153848,52,0.36538461538461536,-0.0673076923076923,False
CLASSICS_8_2,8.2,tx0_be0_c100,104,0.375,-0.0625,52,0.36538461538461536,-0.08653846153846154,False
CLASSICS_8_2,8.2,tx1_be0_c100,104,0.375,-0.0625,52,0.36538461538461536,-0.08653846153846154,False
CLASSICS_8_2,8.2,tx0_be0_c101,58,0.3620689655172414,-0.09482758620689655,22,0.2727272727272727,-0.3181818181818182,False
CLASSICS_8_2,8.2,tx0_be1_c101,58,0.3275862068965517,-0.02586206896551724,22,0.2727272727272727,-0.3181818181818182,False
CLASSICS_8_2,8.2,tx1_be0_c101,58,0.3620689655172414,-0.09482758620689655,22,0.2727272727272727,-0.3181818181818182,False
CLASSICS_8_2,8.2,tx1_be1_c101,58,0.3275862068965517,-0.02586206896551724,22,0.2727272727272727,-0.3181818181818182,False
CLASSICS_8_3,8.3,tx0_be0_c100,205,0.4195121951219512,0.04878048780487805,85,0.3411764705882353,-0.14705882352941177,True
CLASSICS_8_3,8.3,tx0_be1_c100,205,0.36585365853658536,0.007317073170731708,85,0.3176470588235294,-0.14705882352941177,True
CLASSICS_8_3,8.3,tx1_be0_c100,205,0.4195121951219512,0.04878048780487805,85,0.3411764705882353,-0.14705882352941177,True
CLASSICS_8_3,8.3,tx1_be1_c100,205,0.36585365853658536,0.007317073170731708,85,0.3176470588235294,-0.14705882352941177,True
CLASSICS_8_3,8.3,tx0_be1_c101,152,0.32894736842105265,-0.07894736842105263,56,0.26785714285714285,-0.2767857142857143,False
CLASSICS_8_3,8.3,tx1_be1_c101,152,0.32894736842105265,-0.07894736842105263,56,0.26785714285714285,-0.2767857142857143,False
CLASSICS_8_3,8.3,tx0_be0_c101,152,0.3815789473684211,-0.046052631578947366,56,0.2857142857142857,-0.2857142857142857,False
CLASSICS_8_3,8.3,tx1_be0_c101,152,0.3815789473684211,-0.046052631578947366,56,0.2857142857142857,-0.2857142857142857,False
